Game Phase,Empty Spots,Depth,Nodes Expanded,Time Cost (s),Speed (Nodes/s),b_eff
Early Game,60,4,317,0.0068,46,657,-
,,5,1,713,0.0355,48,214,5.40
,,6,9,913,0.1914,51,780,5.79
Early-Mid Transition,50,4,12,432,0.2315,53,694,-
,,5,118,234,2.6535,44,556,9.51
,,6,1,420,654,28.3200,50,164,12.02
Mid Game,40,3,1,590,0.0356,44,666,-
,,4,16,451,0.4241,38,794,10.35
,,5,218,324,4.7128,46,325,13.27
Peak Complexity,30,3,2,577,0.0707,36,438,-
,,4,35,682,0.9036,39,488,13.85
,,5,416,994,12.0203,34,690,11.69
Late Game,20,4,5,217,0.2076,25,129,-
,,5,45,916,1.7464,26,292,8.80
,,6,327,920,13.9982,23,425,7.14
End Game,10,8,36,444,4.9762,7,323,-
,,9,72,295,10.9185,6,621,1.98
,,10,109,016,20.1457,5,411,1.51
